order_id,customer_id,product,category,quantity,unit_price,order_date,region,status
ORD-001,C-101,Laptop Pro 15,electronics,2,1299.99,2025-01-15,north,completed
ORD-002,C-102,Wireless Mouse,electronics,5,29.99,2025-01-16,south,completed
ORD-003,C-103,Standing Desk,furniture,1,549.00,2025-01-17,east,completed
ORD-004,C-101,USB-C Hub,electronics,3,79.99,2025-01-18,north,completed
ORD-005,C-104,Office Chair,furniture,2,399.99,2025-01-20,west,completed
ORD-006,C-105,Monitor 27in,electronics,1,449.99,2025-01-21,north,pending
ORD-007,C-102,Keyboard Mech,electronics,2,149.99,2025-01-22,south,completed
ORD-008,C-106,Desk Lamp,furniture,4,45.99,2025-01-23,east,completed
ORD-009,C-103,Webcam HD,electronics,1,89.99,2025-01-25,east,cancelled
ORD-010,C-107,Bookshelf,furniture,1,199.99,2025-01-26,west,completed
ORD-011,C-101,SSD 1TB,electronics,2,109.99,2025-02-01,north,completed
ORD-012,C-108,Ergonomic Mat,furniture,3,34.99,2025-02-03,south,completed
ORD-013,C-104,Headphones BT,electronics,1,199.99,2025-02-05,west,completed
ORD-014,C-109,Filing Cabinet,furniture,1,279.99,2025-02-07,north,pending
ORD-015,C-102,Charger 65W,electronics,4,39.99,2025-02-10,south,completed
ORD-016,C-110,Whiteboard,furniture,2,89.99,2025-02-12,east,completed
ORD-017,C-103,Tablet 10in,electronics,1,599.99,2025-02-14,east,completed
ORD-018,C-111,Printer Laser,electronics,1,349.99,2025-02-16,west,completed
ORD-019,C-101,Monitor Arm,furniture,2,69.99,2025-02-18,north,completed
ORD-020,C-112,External HDD,electronics,3,89.99,2025-02-20,south,cancelled
ORD-021,C-105,Desk Pad,furniture,1,24.99,2025-03-01,north,completed
ORD-022,C-113,Router WiFi6,electronics,1,179.99,2025-03-03,west,completed
ORD-023,C-106,Surge Protector,electronics,6,19.99,2025-03-05,east,completed
ORD-024,C-114,Coffee Table,furniture,1,329.99,2025-03-07,south,completed
ORD-025,C-101,Docking Station,electronics,1,249.99,2025-03-10,north,completed
ORD-026,C-115,Plant Stand,furniture,3,49.99,2025-03-12,west,completed
ORD-027,C-108,Keyboard Wireless,electronics,2,69.99,2025-03-14,south,completed
ORD-028,C-103,Power Bank,electronics,2,59.99,2025-03-16,east,completed
ORD-029,C-116,Coat Rack,furniture,1,79.99,2025-03-18,north,pending
ORD-030,C-107,Speaker BT,electronics,1,129.99,2025-03-20,west,completed
